DATE_CHARGEMENT,DATE_RELEVEE,DATE_DEMARRAGE,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,PANNE
1/9/2019 16:00,1/9/2019 16:00,1/9/2019 16:00,0.0043,-0.0003,518.67,641.82,1587.05,1393.13,554.77,2387.98,9051.31,47.24,522.7,2387.98,8131.09,8.4167,392,39.06,23.4085,76.555,0
1/9/2019 17:00,1/9/2019 17:00,1/9/2019 17:00,0.0018,0.0003,518.67,641.55,1588.32,1398.96,555.14,2388.04,9054.24,47.22,522.58,2387.99,8140.58,8.3802,391,39.11,23.425,76.555,0
1/9/2019 18:00,1/9/2019 18:00,1/9/2019 18:00,0.0035,-0.0004,518.67,641.68,1584.15,1396.08,554.25,2387.98,9058.01,47.1,522.49,2387.93,8140.44,8.4018,391,39.13,23.5027,76.555,0
1/9/2019 19:00,1/9/2019 19:00,1/9/2019 19:00,0.0005,0.0004,518.67,641.73,1579.03,1402.52,555.12,2388.03,9058.15,47.25,522.27,2387.94,8136.67,8.3867,390,39.18,23.4234,76.555,0
1/9/2019 20:00,1/9/2019 20:00,1/9/2019 20:00,-0.001,0.0004,518.67,641.3,1577.5,1396.76,554.98,2388.04,9054.07,47.05,522.8,2387.99,8133.65,8.38,392,39.15,23.427,76.555,0
1/9/2019 21:00,1/9/2019 21:00,1/9/2019 21:00,0.0001,-0.0002,518.67,642.03,1587.49,1400.65,554.84,2388.05,9052.67,47.1,522.14,2388.04,8136.33,8.3941,391,39.1,23.4718,76.555,0
1/9/2019 22:00,1/9/2019 22:00,1/9/2019 22:00,0.0015,-0.0004,518.67,642.55,1590.41,1395.39,554.65,2388.01,9055.82,47.2,522.77,2387.96,8137.92,8.3861,391,39.11,23.4381,76.555,0
1/9/2019 23:00,1/9/2019 23:00,1/9/2019 23:00,0.0017,-0.0004,518.67,641.98,1581.99,1395.01,554.69,2388.02,9051.67,47.14,522.4,2387.98,8145.29,8.3868,390,39.06,23.4875,76.555,0
1/10/2019 0:00,1/10/2019 0:00,1/10/2019 0:00,-0.0045,0.0002,518.67,641.99,1586.37,1394.86,554.63,2387.99,9058.88,47.21,521.99,2387.97,8138.64,8.3982,391,39.2,23.6005,76.555,0
1/10/2019 1:00,1/10/2019 1:00,1/10/2019 1:00,0.0006,0.0004,518.67,642.26,1589.21,1401.29,554.7,2388.01,9053.21,47.21,522.2,2388.03,8135.85,8.4188,392,39.23,23.3888,76.555,0
